TIMESTAMP,wnd_spd,wnd_spd_max,wnd_spd_min,u_star,wnd_dir_sonic
27-08-15 23,3.354552,3.499891,3.209213,0.61032105,173.9235
27-09-15 00,0.97432905,1.006615,0.9420431,0.092088445,116.31606
27-09-15 01,0.88976825,1.029024,0.7505125,0.079199955,172.80175
27-09-15 02,1.4522565,1.864173,1.04034,0.098124345,-162.41655
27-09-15 03,1.571095,2.095887,1.046303,0.2530693,149.1785
27-09-15 04,1.507372,1.530112,1.484632,0.3180526,165.59135
27-09-15 05,2.4575265,2.905119,2.009934,0.4286691,6.3164
27-09-15 06,1.3712959,1.895119,0.8474728,0.2017072,-84.911622
27-09-15 07,0.9363336,0.9434529,0.9292143,0.13180895,-37.529935
27-09-15 08,1.545855,2.009997,1.081713,0.30834595,-44.098605
27-09-15 09,4.048766,4.355081,3.742451,0.72938905,-44.555725
27-09-15 10,4.6919405,4.838559,4.545322,0.79390835,-29.771715
27-09-15 11,4.659166,4.681385,4.636947,0.6689531,-22.546235
27-09-15 12,4.1009325,4.214331,3.987534,0.64945825,-27.68997
27-09-15 13,3.598557,3.639306,3.557808,0.5304269,-20.5392
27-09-15 14,3.450584,3.561869,3.339299,0.6144422,-36.253895
27-09-15 15,3.294332,3.334103,3.254561,0.4961146,-39.995255
27-09-15 16,2.7557435,2.776504,2.734983,0.4179466,-33.6091
27-09-15 17,2.3445955,2.652719,2.036472,0.3676435,-38.95471
27-09-15 18,1.6653845,1.884866,1.445903,0.1777933,-70.64688
27-09-15 19,1.8293235,1.882665,1.775982,0.21951915,-62.86006
27-09-15 20,1.919669,1.923026,1.916312,0.26115845,-55.215805
27-09-15 21,0.6622999,0.8475534,0.4770464,0.078851895,-68.74871
27-09-15 22,0.79642235,0.8884823,0.7043624,0.03875173,-140.801
27-09-15 23,0.82105665,0.9561081,0.6860052,0.026351855,140.9517
27-10-15 00,0.809466,0.8450471,0.7738849,0.08689916,-174.2678
27-10-15 01,0.8999811,1.223307,0.5766552,0.055299465,15.42075
27-10-15 02,1.0997504,1.234199,0.9653018,0.1177221,175.55645
27-10-15 03,1.1808885,1.234156,1.127621,0.1308994,-174.14585
27-10-15 04,1.336851,1.531192,1.14251,0.1505515,-124.542495
27-10-15 05,2.0543525,2.08663,2.022075,0.30230535,-107.88115
27-10-15 06,1.776017,1.835147,1.716887,0.27892535,-108.02985
27-10-15 07,1.6975115,1.926632,1.468391,0.31691835,-104.22781
27-10-15 08,3.313425,3.664625,2.962225,0.65039115,-77.18529
27-10-15 09,3.759091,3.967644,3.550538,0.65749495,-68.76297
27-10-15 10,3.4201015,3.771778,3.068425,0.59947965,-57.02222
27-10-15 11,3.204996,3.495557,2.914435,0.54079875,-52.300915
27-10-15 12,2.8850025,2.942987,2.827018,0.4865352,-16.6686275
27-10-15 13,2.527087,2.844648,2.209526,0.37222705,-16.29248
27-10-15 14,2.3957615,2.516914,2.274609,0.3748501,-44.755115
27-10-15 15,2.0921,2.542987,1.641213,0.3328144,88.4807
27-10-15 16,2.214211,2.288005,2.140417,0.42461385,102.25123
27-10-15 17,1.51434245,2.034228,0.9944569,0.27296325,108.643015
27-10-15 18,1.347864,1.397131,1.298597,0.14832265,134.80885
27-10-15 19,1.372412,1.379441,1.365383,0.14488865,113.343385
27-10-15 20,1.550731,1.737392,1.36407,0.20586415,100.498
27-10-15 21,1.583853,1.914667,1.253039,0.262815,-119.7901
27-10-15 22,2.199106,3.022386,1.375826,0.34307695,159.41665
27-10-15 23,3.672362,3.706002,3.638722,0.60210375,135.21935
27-11-15 00,1.3956975,1.408247,1.383148,0.16431825,107.425835
27-11-15 01,1.5911075,1.786436,1.395779,0.2025316,-4.3321
27-11-15 02,1.0495306,1.142394,0.9566672,0.10987235,99.33674
27-11-15 03,1.5475855,2.004798,1.090373,0.25344305,114.53685
27-11-15 04,1.5433265,1.846754,1.239899,0.2020066,-56.588335
27-11-15 05,0.79613545,0.9897839,0.602487,0.106722255,-26.381105
